ticker,tradeDate,expirDate,dte,strike,stockPrice,callVolume,callOpenInterest,callBidSize,callAskSize,putVolume,putOpenInterest,putBidSize,putAskSize,callBidPrice,callValue,callAskPrice,putBidPrice,putValue,putAskPrice,callBidIv,callMidIv,callAskIv,smvVol,putBidIv,putMidIv,putAskIv,residualRate,delta,gamma,theta,vega,rho,phi,driftlessTheta,callSmvVol,putSmvVol,extSmvVol,extCallValue,extPutValue,spotPrice,quoteDate,updatedAt
SPY,2021-04-15,2021-04-16,2,165,415.69,0,1,20,20,0,10312,0,4844,250.64,250.69000000000008,250.72,0,0,0.01,0,0,0,0.283,0,0,0,0.023849850236374644,1.000000000000027,-8.733119051914822e-14,1.434682512158676e-12,0.000020000006929580138,0,0,1.4345882634493358e-12,0.24929434530732666,0.2844458930916957,0.29816625196539565,250.69,0,415.69,2021-04-15T20:14:20Z,2021-04-15T20:14:26Z
SPY,2021-04-15,2021-04-16,2,170,415.69,0,0,20,20,0,4521,0,5946,245.64,245.69000000000008,245.72,0,0,0.01,0,0,0,0.283,0,0,0,0.023849850236374644,1.000000000000027,-8.733119051914822e-14,1.434682512158676e-12,0.000020000006929580138,0,0,1.4345882634493358e-12,0.24929434530732666,0.2844458930916957,0.29816625196539565,245.69,0,415.69,2021-04-15T20:14:20Z,2021-04-15T20:14:26Z
SPY,2021-04-15,2021-04-16,2,175,415.69,0,0,20,20,0,7983,0,5946,240.64,240.69000000000008,240.72,0,0,0.01,0,0,0,0.283,0,0,0,0.023849850236374644,1.000000000000027,-8.733119051914822e-14,1.434682512158676e-12,0.000020000006929580138,0,0,1.4345882634493358e-12,0.24929434530732666,0.2844458930916957,0.29816625196539565,240.69,0,415.69,2021-04-15T20:14:20Z,2021-04-15T20:14:26Z
SPY,2021-04-15,2021-04-16,2,180,415.69,0,0,20,20,1,2844,0,5946,235.64,235.69000000000008,235.72,0,0,0.01,0,0,0,0.283,0,0,0,0.023849850236374644,1.000000000000027,-8.733119051914822e-14,1.434682512158676e-12,0.000020000006929580138,0,0,1.4345882634493358e-12,0.24929434530732666,0.2844458930916957,0.29816625196539565,235.69,0,415.69,2021-04-15T20:14:20Z,2021-04-15T20:14:26Z
SPY,2021-04-15,2021-04-16,2,185,415.69,0,0,20,20,0,2931,0,5946,230.64,230.69000000000008,230.72,0,0,0.01,0,0,0,0.283,0,0,0,0.023849850236374644,1.000000000000027,-8.733119051914822e-14,1.434682512158676e-12,0.000020000006929580138,0,0,1.4345882634493358e-12,0.24929434530732666,0.2844458930916957,0.29816625196539565,230.69,0,415.69,2021-04-15T20:14:20Z,2021-04-15T20:14:26Z
SPY,2021-04-15,2021-04-16,2,190,415.69,0,0,20,20,0,2808,0,5946,225.64,225.69000000000008,225.72,0,0,0.01,0,0,0,0.283,0,0,0,0.023849850236374644,1.000000000000027,-8.733119051914822e-14,1.434682512158676e-12,0.000020000006929580138,0,0,1.4345882634493358e-12,0.24929434530732666,0.2844458930916957,0.29816625196539565,225.69,0,415.69,2021-04-15T20:14:20Z,2021-04-15T20:14:26Z
SPY,2021-04-15,2021-04-16,2,195,415.69,0,0,20,20,0,2558,0,5946,220.64,220.69000000000008,220.72,0,0,0.01,0,0,0,0.283,0,0,0,0.023849850236374644,1.000000000000027,-8.733119051914822e-14,1.434682512158676e-12,0.000020000006929580138,0,0,1.4345882634493358e-12,0.24929434530732666,0.2844458930916957,0.29816625196539565,220.69,0,415.69,2021-04-15T20:14:20Z,2021-04-15T20:14:26Z
SPY,2021-04-15,2021-04-16,2,200,415.69,0,7,20,20,0,6559,0,5946,215.64,215.69000000000008,215.72,0,0,0.01,0,0,0,0.283,0,0,0,0.023849850236374644,1.000000000000027,-8.733119051914822e-14,1.434682512158676e-12,0.000020000006929580138,0,0,1.4345882634493358e-12,0.24929434530732666,0.2844458930916957,0.29816625196539565,215.69,0,415.69,2021-04-15T20:14:20Z,2021-04-15T20:14:26Z
SPY,2021-04-15,2021-04-16,2,205,415.69,0,0,20,20,0,1456,0,5946,210.64,210.69000000000008,210.72,0,0,0.01,0,0,0,0.283,0,0,0,0.023849850236374644,1.000000000000027,-8.733119051914822e-14,1.434682512158676e-12,0.000020000006929580138,0,0,1.4345882634493358e-12,0.24929434530732666,0.2844458930916957,0.29816625196539565,210.69,0,415.69,2021-04-15T20:14:20Z,2021-04-15T20:14:26Z
SPY,2021-04-15,2021-04-16,2,210,415.69,0,0,20,20,0,14216,0,5946,205.64,205.69000000000008,205.72,0,0,0.01,0,0,0,0.283,0,0,0,0.023849850236374644,1.000000000000027,-8.733119051914822e-14,1.434682512158676e-12,0.000020000006929580138,0,0,1.4345882634493358e-12,0.24929434530732666,0.2844458930916957,0.29816625196539565,205.69,0,415.69,2021-04-15T20:14:20Z,2021-04-15T20:14:26Z
